20:39:27.394094 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [S], seq 2263806240, win 65535, options [mss 1460,sackOK,TS val 783148 ecr 0,nop,wscale 6,mptcp join id 3 token 0xbaf08251 nonce 0x994c8d18], length 0
20:39:27.447362 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [S], seq 2263806240, win 65535, options [mss 1460,sackOK,TS val 783148 ecr 0,nop,wscale 6,mptcp join id 3 token 0xbaf08251 nonce 0x994c8d18], length 0
20:39:27.725070 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 2869940821, win 7300, options [nop,nop,TS val 783491 ecr 1004073,mptcp join hmac 0xa3da383c27000032e8efc1c8d500fb8ad0766c38], length 0
20:39:27.782699 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1, win 7300, options [nop,nop,TS val 783491 ecr 1004073,mptcp join hmac 0xa3da383c27000032e8efc1c8d500fb8ad0766c38], length 0
20:39:27.880074 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1, win 7300, options [nop,nop,TS val 783491 ecr 1004073,mptcp join hmac 0xa3da383c27000032e8efc1c8d500fb8ad0766c38], length 0
20:39:28.098322 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1429, win 7529, options [nop,nop,TS val 783874 ecr 1004416,mptcp dss ack 1969125454], length 0
20:39:28.098743 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1429, win 7529, options [nop,nop,TS val 783874 ecr 1004416,mptcp dss ack 1969125454], length 0
20:39:28.160645 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 1429, win 7529, options [nop,nop,TS val 783874 ecr 1004416,mptcp dss ack 1969125454], length 0
20:39:28.246514 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 2857, win 7711, options [nop,nop,TS val 784023 ecr 1004416,mptcp dss ack 1969126882], length 0
20:39:28.246886 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 2857, win 7711, options [nop,nop,TS val 784023 ecr 1004416,mptcp dss ack 1969126882], length 0
20:39:28.295929 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 2857, win 7711, options [nop,nop,TS val 784023 ecr 1004416,mptcp dss ack 1969126882], length 0
20:39:28.393101 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 4285, win 7848, options [nop,nop,TS val 784156 ecr 1004416,mptcp dss ack 1969134022], length 0
20:39:28.393429 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 4285, win 7848, options [nop,nop,TS val 784156 ecr 1004416,mptcp dss ack 1969134022], length 0
20:39:28.407236 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 4285, win 7848, options [nop,nop,TS val 784156 ecr 1004416,mptcp dss ack 1969134022], length 0
20:39:28.628838 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 5713, win 8076, options [nop,nop,TS val 784404 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.629195 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 5713, win 8076, options [nop,nop,TS val 784404 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.704360 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 5713, win 8076, options [nop,nop,TS val 784404 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.755620 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 7141, win 8167, options [nop,nop,TS val 784529 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.755926 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 7141, win 8167, options [nop,nop,TS val 784529 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.824533 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 7141, win 8167, options [nop,nop,TS val 784529 ecr 1004416,mptcp dss ack 1969136878], length 0
20:39:28.915682 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 8569, win 8395, options [nop,nop,TS val 784690 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:28.916004 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 8569, win 8395, options [nop,nop,TS val 784690 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.042105 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 9997, win 8578, options [nop,nop,TS val 784817 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.042490 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 9997, win 8578, options [nop,nop,TS val 784817 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.234980 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 11425, win 8760, options [nop,nop,TS val 785010 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.235268 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 11425, win 8760, options [nop,nop,TS val 785010 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.369628 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 8897, options [nop,nop,TS val 785145 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.369941 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 8897, options [nop,nop,TS val 785145 ecr 1004417,mptcp dss ack 1969139734], length 0
20:39:29.495350 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 12853, win 9080, options [nop,nop,TS val 785271 ecr 1004417,nop,nop,sack 1 {14281:15709},mptcp dss ack 1969139734], length 0
20:40:07.262259 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 415549, win 24206, options [nop,nop,TS val 822844 ecr 1042663,mptcp dss ack 1970596294], length 0
20:40:07.479949 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 419833, win 24050, options [nop,nop,TS val 823256 ecr 1043072,mptcp dss ack 1970606290], length 0
20:40:07.480191 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 419833, win 24050, options [nop,nop,TS val 823256 ecr 1043072,mptcp dss ack 1970606290], length 0
20:40:07.506140 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 419833, win 24050, options [nop,nop,TS val 823256 ecr 1043072,mptcp dss ack 1970606290], length 0
20:40:07.895995 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 424117, win 23898, options [nop,nop,TS val 823672 ecr 1043364,mptcp dss ack 1970634850], length 0
20:40:07.896182 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 424117, win 23898, options [nop,nop,TS val 823672 ecr 1043364,mptcp dss ack 1970634850], length 0
20:40:07.905706 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 424117, win 23898, options [nop,nop,TS val 823672 ecr 1043364,mptcp dss ack 1970634850], length 0
20:40:08.140959 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 426973, win 24447, options [nop,nop,TS val 823917 ecr 1043457,mptcp dss ack 1970717674], length 0
20:40:08.141174 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 426973, win 24447, options [nop,nop,TS val 823917 ecr 1043457,mptcp dss ack 1970717674], length 0
20:40:08.172610 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 426973, win 24447, options [nop,nop,TS val 823917 ecr 1043457,mptcp dss ack 1970717674], length 0
20:40:08.396000 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24458, options [nop,nop,TS val 824172 ecr 1043660,mptcp dss ack 1970723386], length 0
20:40:08.396255 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24458, options [nop,nop,TS val 824172 ecr 1043660,mptcp dss ack 1970723386], length 0
20:40:08.409989 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24458, options [nop,nop,TS val 824172 ecr 1043660,mptcp dss ack 1970723386], length 0
20:40:08.495290 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824271 ecr 1043660,nop,nop,sack 1 {431257:432685},mptcp dss ack 1970723386], length 0
20:40:08.495430 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824271 ecr 1043660,nop,nop,sack 1 {431257:432685},mptcp dss ack 1970723386], length 0
20:40:08.571016 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824271 ecr 1043660,nop,nop,sack 1 {431257:432685},mptcp dss ack 1970723386], length 0
20:40:08.618646 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824394 ecr 1043660,nop,nop,sack 2 {434113:435541}{431257:432685},mptcp dss ack 1970723386], length 0
20:40:08.618899 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824394 ecr 1043660,nop,nop,sack 2 {434113:435541}{431257:432685},mptcp dss ack 1970723386], length 0
20:40:08.694711 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824394 ecr 1043660,nop,nop,sack 2 {434113:435541}{431257:432685},mptcp dss ack 1970723386], length 0
20:40:08.743537 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824518 ecr 1043660,nop,nop,sack 2 {434113:436969}{431257:432685},mptcp dss ack 1970723386], length 0
20:40:08.743779 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824518 ecr 1043660,nop,nop,sack 2 {434113:436969}{431257:432685},mptcp dss ack 1970723386], length 0
20:40:08.832623 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824518 ecr 1043660,nop,nop,sack 2 {434113:436969}{431257:432685},mptcp dss ack 1970723386], length 0
20:40:08.859893 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824635 ecr 1043660,nop,nop,sack 2 {434113:438397}{431257:432685},mptcp dss ack 1970723386], length 0
20:40:08.860133 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824635 ecr 1043660,nop,nop,sack 2 {434113:438397}{431257:432685},mptcp dss ack 1970723386], length 0
20:40:08.963024 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824729 ecr 1043660,nop,nop,sack 2 {434113:439825}{431257:432685},mptcp dss ack 1970723386], length 0
20:40:08.963265 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824729 ecr 1043660,nop,nop,sack 2 {434113:439825}{431257:432685},mptcp dss ack 1970723386], length 0
20:40:09.015593 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824635 ecr 1043660,nop,nop,sack 2 {434113:438397}{431257:432685},mptcp dss ack 1970723386], length 0
20:40:09.060112 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824819 ecr 1043660,nop,nop,sack 2 {434113:441253}{431257:432685},mptcp dss ack 1970723386], length 0
20:40:09.060378 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824819 ecr 1043660,nop,nop,sack 2 {434113:441253}{431257:432685},mptcp dss ack 1970723386], length 0
20:40:09.147738 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824923 ecr 1043660,nop,nop,sack 2 {442681:444109}{434113:441253},mptcp dss ack 1970723386], length 0
20:40:09.147968 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824923 ecr 1043660,nop,nop,sack 2 {442681:444109}{434113:441253},mptcp dss ack 1970723386], length 0
20:40:09.209225 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824729 ecr 1043660,nop,nop,sack 2 {434113:439825}{431257:432685},mptcp dss ack 1970723386], length 0
20:40:09.230918 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824819 ecr 1043660,nop,nop,sack 2 {434113:441253}{431257:432685},mptcp dss ack 1970723386], length 0
20:40:09.286394 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825062 ecr 1043660,nop,nop,sack 2 {442681:445537}{434113:441253},mptcp dss ack 1970723386], length 0
20:40:09.286612 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825062 ecr 1043660,nop,nop,sack 2 {442681:445537}{434113:441253},mptcp dss ack 1970723386], length 0
20:40:09.332951 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 824923 ecr 1043660,nop,nop,sack 2 {442681:444109}{434113:441253},mptcp dss ack 1970723386], length 0
20:40:09.398624 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825172 ecr 1043660,nop,nop,sack 2 {446965:448393}{442681:445537},mptcp dss ack 1970723386], length 0
20:40:09.398870 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825172 ecr 1043660,nop,nop,sack 2 {446965:448393}{442681:445537},mptcp dss ack 1970723386], length 0
20:40:09.459098 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825062 ecr 1043660,nop,nop,sack 2 {442681:445537}{434113:441253},mptcp dss ack 1970723386], length 0
20:40:09.522548 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825297 ecr 1043660,nop,nop,sack 2 {446965:449821}{442681:445537},mptcp dss ack 1970723386], length 0
20:40:09.522789 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825297 ecr 1043660,nop,nop,sack 2 {446965:449821}{442681:445537},mptcp dss ack 1970723386], length 0
20:40:09.562692 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825172 ecr 1043660,nop,nop,sack 2 {446965:448393}{442681:445537},mptcp dss ack 1970723386], length 0
20:40:09.635288 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825410 ecr 1043660,nop,nop,sack 2 {446965:451249}{442681:445537},mptcp dss ack 1970723386], length 0
20:40:09.635488 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825410 ecr 1043660,nop,nop,sack 2 {446965:451249}{442681:445537},mptcp dss ack 1970723386], length 0
20:40:09.713877 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825488 ecr 1043660,nop,nop,sack 2 {446965:452677}{442681:445537},mptcp dss ack 1970723386], length 0
20:40:09.714105 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825488 ecr 1043660,nop,nop,sack 2 {446965:452677}{442681:445537},mptcp dss ack 1970723386], length 0
20:40:09.729715 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825410 ecr 1043660,nop,nop,sack 2 {446965:451249}{442681:445537},mptcp dss ack 1970723386], length 0
20:40:09.828322 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825488 ecr 1043660,nop,nop,sack 2 {446965:452677}{442681:445537},mptcp dss ack 1970723386], length 0
20:40:09.848584 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825619 ecr 1043660,nop,nop,sack 2 {446965:454105}{442681:445537},mptcp dss ack 1970723386], length 0
20:40:09.848791 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825619 ecr 1043660,nop,nop,sack 2 {446965:454105}{442681:445537},mptcp dss ack 1970723386], length 0
20:40:09.928113 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825619 ecr 1043660,nop,nop,sack 2 {446965:454105}{442681:445537},mptcp dss ack 1970723386], length 0
20:40:09.961702 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825737 ecr 1043660,nop,nop,sack 2 {446965:455533}{442681:445537},mptcp dss ack 1970723386], length 0
20:40:09.961984 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825737 ecr 1043660,nop,nop,sack 2 {446965:455533}{442681:445537},mptcp dss ack 1970723386], length 0
20:40:10.031525 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825737 ecr 1043660,nop,nop,sack 2 {446965:455533}{442681:445537},mptcp dss ack 1970723386], length 0
20:40:10.125644 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825900 ecr 1043660,nop,nop,sack 2 {456961:458389}{446965:455533},mptcp dss ack 1970723386], length 0
20:40:10.125941 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825900 ecr 1043660,nop,nop,sack 2 {456961:458389}{446965:455533},mptcp dss ack 1970723386], length 0
20:40:10.198008 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 825900 ecr 1043660,nop,nop,sack 2 {456961:458389}{446965:455533},mptcp dss ack 1970723386], length 0
20:40:10.259760 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 826035 ecr 1043660,nop,nop,sack 2 {456961:459817}{446965:455533},mptcp dss ack 1970723386], length 0
20:40:10.259980 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 826035 ecr 1043660,nop,nop,sack 2 {456961:459817}{446965:455533},mptcp dss ack 1970723386], length 0
20:40:10.279250 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 826035 ecr 1043660,nop,nop,sack 2 {456961:459817}{446965:455533},mptcp dss ack 1970723386], length 0
20:40:10.407579 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 826184 ecr 1043660,nop,nop,sack 2 {461245:462673}{456961:459817},mptcp dss ack 1970723386], length 0
20:40:10.407832 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 826184 ecr 1043660,nop,nop,sack 2 {461245:462673}{456961:459817},mptcp dss ack 1970723386], length 0
20:40:10.485861 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 826262 ecr 1043660,nop,nop,sack 2 {461245:464101}{456961:459817},mptcp dss ack 1970723386], length 0
20:40:10.486138 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 826262 ecr 1043660,nop,nop,sack 2 {461245:464101}{456961:459817},mptcp dss ack 1970723386], length 0
20:40:10.492078 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 826262 ecr 1043660,nop,nop,sack 2 {461245:464101}{456961:459817},mptcp dss ack 1970723386], length 0
20:40:10.561101 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 826336 ecr 1043660,nop,nop,sack 2 {461245:465529}{456961:459817},mptcp dss ack 1970723386], length 0
20:40:10.561337 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 826336 ecr 1043660,nop,nop,sack 2 {461245:465529}{456961:459817},mptcp dss ack 1970723386], length 0
20:40:10.640266 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 429829, win 24491, options [nop,nop,TS val 826336 ecr 1043660,nop,nop,sack 2 {461245:465529}{456961:459817},mptcp dss ack 1970723386], length 0
20:40:10.718628 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 432685, win 24491, options [nop,nop,TS val 826490 ecr 1046144,nop,nop,sack 2 {461245:465529}{456961:459817},mptcp dss ack 1970723386], length 0
20:40:10.718828 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 432685, win 24491, options [nop,nop,TS val 826490 ecr 1046144,nop,nop,sack 2 {461245:465529}{456961:459817},mptcp dss ack 1970723386], length 0
20:40:10.843881 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 441253, win 24247, options [nop,nop,TS val 826617 ecr 1046264,nop,nop,sack 2 {461245:465529}{456961:459817},mptcp dss ack 1970739094], length 0
20:40:10.844135 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 441253, win 24247, options [nop,nop,TS val 826617 ecr 1046264,nop,nop,sack 2 {461245:465529}{456961:459817},mptcp dss ack 1970739094], length 0
20:40:10.864276 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 432685, win 24491, options [nop,nop,TS val 826490 ecr 1046144,nop,nop,sack 2 {461245:465529}{456961:459817},mptcp dss ack 1970723386], length 0
20:40:10.913995 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24247, options [nop,nop,TS val 826689 ecr 1046463,nop,nop,sack 2 {461245:465529}{456961:459817},mptcp dss ack 1970739094], length 0
20:40:10.914226 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24247, options [nop,nop,TS val 826689 ecr 1046463,nop,nop,sack 2 {461245:465529}{456961:459817},mptcp dss ack 1970739094], length 0
20:40:10.996669 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 441253, win 24247, options [nop,nop,TS val 826617 ecr 1046264,nop,nop,sack 2 {461245:465529}{456961:459817},mptcp dss ack 1970739094], length 0
20:40:11.030187 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24247, options [nop,nop,TS val 826689 ecr 1046463,nop,nop,sack 2 {461245:465529}{456961:459817},mptcp dss ack 1970739094], length 0
20:40:11.067827 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24236, options [nop,nop,TS val 826843 ecr 1046463,nop,nop,sack 2 {446965:459817}{461245:465529},mptcp dss ack 1970781934], length 0
20:40:11.068034 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24236, options [nop,nop,TS val 826843 ecr 1046463,nop,nop,sack 2 {446965:459817}{461245:465529},mptcp dss ack 1970781934], length 0
20:40:11.170176 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24236, options [nop,nop,TS val 826843 ecr 1046463,nop,nop,sack 2 {446965:459817}{461245:465529},mptcp dss ack 1970781934], length 0
20:40:11.194714 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24236, options [nop,nop,TS val 826970 ecr 1046463,nop,nop,sack 2 {461245:466957}{446965:459817},mptcp dss ack 1970781934], length 0
20:40:11.194973 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24236, options [nop,nop,TS val 826970 ecr 1046463,nop,nop,sack 2 {461245:466957}{446965:459817},mptcp dss ack 1970781934], length 0
20:40:11.279958 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24236, options [nop,nop,TS val 826970 ecr 1046463,nop,nop,sack 2 {461245:466957}{446965:459817},mptcp dss ack 1970781934], length 0
20:40:11.309200 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24236, options [nop,nop,TS val 827082 ecr 1046463,nop,nop,sack 1 {446965:466957},mptcp dss ack 1970781934], length 0
20:40:11.309439 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24236, options [nop,nop,TS val 827082 ecr 1046463,nop,nop,sack 1 {446965:466957},mptcp dss ack 1970781934], length 0
20:40:11.392745 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24236, options [nop,nop,TS val 827082 ecr 1046463,nop,nop,sack 1 {446965:466957},mptcp dss ack 1970781934], length 0
20:40:11.440117 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24236, options [nop,nop,TS val 827216 ecr 1046463,nop,nop,sack 1 {446965:468385},mptcp dss ack 1970781934], length 0
20:40:11.440383 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24236, options [nop,nop,TS val 827216 ecr 1046463,nop,nop,sack 1 {446965:468385},mptcp dss ack 1970781934], length 0
20:40:11.501718 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24236, options [nop,nop,TS val 827216 ecr 1046463,nop,nop,sack 1 {446965:468385},mptcp dss ack 1970781934], length 0
20:40:11.542802 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24236, options [nop,nop,TS val 827318 ecr 1046463,nop,nop,sack 1 {446965:469813},mptcp dss ack 1970781934], length 0
20:40:11.543083 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24236, options [nop,nop,TS val 827318 ecr 1046463,nop,nop,sack 1 {446965:469813},mptcp dss ack 1970781934], length 0
20:40:11.693370 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24236, options [nop,nop,TS val 827468 ecr 1046463,nop,nop,sack 1 {446965:471241},mptcp dss ack 1970781934], length 0
20:40:11.693606 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24236, options [nop,nop,TS val 827468 ecr 1046463,nop,nop,sack 1 {446965:471241},mptcp dss ack 1970781934], length 0
20:40:11.788186 IP 112.26.1.1.37653 > 112.26.1.8.42049: Flags [.], seq 476953:478381, ack 0, win 4017, options [nop,nop,TS val 1047843 ecr 826970,mptcp dss ack 4241485850 seq 1970880466 subseq 476953 len 1428 csum 0x4714], length 1428
20:40:11.859367 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24236, options [nop,nop,TS val 827630 ecr 1046463,nop,nop,sack 2 {476953:478381}{446965:471241},mptcp dss ack 1970781934], length 0
20:40:11.859601 IP 112.26.1.8.42049 > 112.26.1.1.37653: Flags [.], ack 445537, win 24236, options [nop,nop,TS val 827630 ecr 1046463,nop,nop,sack 2 {476953:478381}{446965:471241},mptcp dss ack 1970781934], length 0
